18439,86,2020/06/07,TDS,Passed
18445,100,2018/12/30,Preseller,Passed
18447,100,2018/12/30,Preseller,Passed
18459,88,2022/02/06,TDS,Passed
18483,100,2018/11/04,TDS,Passed
18514,100,2018/10/23,Preseller,Passed
18520,90,2021/04/04,TDS,Passed
18533,90,2020/06/30,Preseller,Passed
18565,100,2018/11/06,TDS,Passed
18573,83,2018/10/21,Preseller,Passed
18583,100,2018/07/26,Preseller,Passed
18591,87,2020/10/05,Preseller,Passed
18604,0,(blank),(blank),Not attend
18607,100,2018/10/21,Preseller,Passed
18627,100,2019/01/20,TDS,Passed
18628,100,2019/01/13,TDS,Passed
18652,80,2020/12/20,Preseller,Passed
18654,100,2019/03/12,TDS,Passed
18664,83,2018/01/23,TDS,Passed
18665,90,2018/01/04,TDS,Passed
18670,95,2020/11/23,Preseller,Passed
18671,100,2020/10/12,Merchandiser,Passed
18675,80,2022/02/08,Preseller,Passed
18678,80,2020/11/17,Merchandiser,Passed
18682,100,2021/02/17,Merchandiser,Passed
18685,87,2020/10/06,Preseller,Passed
18688,80,2022/02/10,Preseller,Passed
18689,100,2020/07/16,Merchandiser,Passed
18700,87,2018/04/01,Preseller,Passed
18701,96,2018/01/04,Preseller,Passed
18704,84,2022/01/30,Preseller,Passed
18705,96,2017/01/04,Preseller,Passed
18706,100,2018/11/04,TDS,Passed
18718,80,2022/02/20,Merchandiser,Passed
18721,100,2020/10/05,Preseller,Passed
18722,100,2020/06/07,TDS,Passed
18741,92,2020/10/22,Preseller,Passed
18752,80,2022/02/14,Preseller,Passed
18758,80,2020/10/05,Merchandiser,Passed
18761,65,2022/02/08,Preseller,Failed
18767,100,2021/02/16,Merchandiser,Passed
18768,80,2020/07/15,Merchandiser,Passed
18775,88,2020/11/29,Preseller,Passed
18776,80,2020/10/21,Preseller,Passed
18780,100,2021/02/17,Merchandiser,Passed
18781,100,2021/02/17,Merchandiser,Passed
18782,100,2021/02/17,Merchandiser,Passed
18783,80,2020/07/20,Merchandiser,Passed
18784,95,2020/07/15,Merchandiser,Passed
18786,95,2020/07/15,Merchandiser,Passed
18787,80,2020/10/03,Merchandiser,Passed
18792,0,(blank),(blank),Not attend
18793,100,2021/02/18,Merchandiser,Passed
18794,100,2020/07/16,Merchandiser,Passed
18796,100,2020/10/03,Merchandiser,Passed
18797,100,2021/02/17,Merchandiser,Passed
18799,85,2020/10/03,Merchandiser,Passed
18800,100,2020/10/12,Merchandiser,Passed
18803,91,2018/07/26,Preseller,Passed
18804,86,2022/03/30,Preseller,Passed
18805,86,2020/10/24,TDS,Passed
18808,95,2020/07/15,Merchandiser,Passed
18812,90,2020/06/30,Preseller,Passed
18813,85,2021/02/14,Preseller,Passed
18826,90,2021/02/14,Preseller,Passed
18833,100,2020/07/16,Merchandiser,Passed
18834,100,2021/02/18,Merchandiser,Passed
18842,85,2020/11/30,Preseller,Passed
18874,100,2020/10/27,Merchandiser,Passed
18884,100,2021/02/18,Merchandiser,Passed
18887,80,2020/10/05,Merchandiser,Passed
18888,100,2020/07/15,Merchandiser,Passed
18908,88,2022/02/03,Preseller,Passed
18928,89,2020/01/05,Preseller,Passed
18929,100,2020/01/05,Preseller,Passed
18950,78,2022/02/28,Preseller,Failed
18957,100,2020/02/13,Preseller,Passed
18962,83,2020/12/14,TDS,Passed
18963,89,2020/03/10,Preseller,Passed
18964,83,2020/03/10,Preseller,Passed
18992,100,2021/03/24,UM,Passed
19003,100,2021/03/24,UM,Passed
19022,80,2022/02/21,Preseller,Passed
19028,90,2021/03/26,TDS,Passed
19036,0,(blank),(blank),Not attend
19049,78,2022/02/03,Preseller,Failed
19050,68,2021/06/07,Preseller,Failed
19051,68,2021/06/07,Preseller,Failed
19052,78,2022/03/31,Preseller,Failed
19068,80,2022/02/21,Merchandiser,Passed
19074,80,2022/02/19,Merchandiser,Passed
19085,80,2022/02/15,Merchandiser,Passed
19105,80,2022/02/10,Preseller,Passed
19106,85,2022/03/29,Preseller,Passed
19111,88,2022/02/03,Preseller,Passed
19112,62,2022/01/26,TDS,Failed
19113,80,2022/02/19,Merchandiser,Passed
19114,78,2022/03/31,Preseller,Failed
19141,80,2022/02/13,Preseller,Passed
19145,80,2022/02/10,Preseller,Passed
19151,80,2022/02/24,Merchandiser,Passed
19156,80,2022/02/20,Merchandiser,Passed
19157,80,2022/02/16,Merchandiser,Passed
19158,95,2022/02/15,Merchandiser,Passed
19179,90,2021/11/21,Preseller,Passed
19190,80,2022/02/13,Preseller,Passed
19193,90,2021/11/30,Preseller,Passed
19205,80,2022/02/10,Preseller,Passed
19232,100,2022/02/15,Merchandiser,Passed
19233,90,2022/02/16,Merchandiser,Passed
19234,90,2022/02/16,Merchandiser,Passed
19243,0,(blank),(blank),Not attend
19249,85,2022/02/16,Merchandiser,Passed
19254,0,(blank),(blank),Not attend
19255,0,(blank),(blank),Not attend
19260,78,2022/02/28,Preseller,Failed
19261,0,(blank),(blank),Not attend
19262,0,(blank),(blank),Not attend
19263,0,(blank),(blank),Not attend
19267,82,2022/02/23,Preseller,Passed
19271,90,2022/03/31,TDS,Passed
19275,0,(blank),(blank),Not attend
19345,0,(blank),(blank),Not attend
19346,0,(blank),(blank),Not attend
19353,0,(blank),(blank),Not attend
19356,0,(blank),(blank),Not attend
19358,100,2022/08/16,Preseller,Passed
19367,0,(blank),(blank),Not attend
19374,0,(blank),(blank),Not attend
19381,0,(blank),(blank),Not attend
19382,0,(blank),(blank),Not attend
19383,78,2022/08/16,Preseller,Failed
19384,0,(blank),(blank),Not attend
19385,0,(blank),(blank),Not attend
19386,0,(blank),(blank),Not attend
19412,0,(blank),(blank),Not attend
19420,0,(blank),(blank),Not attend
19421,0,(blank),(blank),Not attend
19426,0,(blank),(blank),Not attend
19427,0,(blank),(blank),Not attend
19428,0,(blank),(blank),Not attend
19429,85,2022/08/14,Preseller,Passed
19430,0,(blank),(blank),Not attend
19431,0,(blank),(blank),Not attend
19432,78,2022/08/14,Preseller,Failed
19433,0,(blank),(blank),Not attend
19434,0,(blank),(blank),Not attend
19436,0,(blank),(blank),Not attend
19437,85,2022/08/14,Preseller,Passed
19438,0,(blank),(blank),Not attend
19439,0,(blank),(blank),Not attend
19462,0,(blank),(blank),Not attend
19463,0,(blank),(blank),Not attend
19464,0,(blank),(blank),Not attend
19465,0,(blank),(blank),Not attend
19466,0,(blank),(blank),Not attend
19467,0,(blank),(blank),Not attend
19468,0,(blank),(blank),Not attend
19469,0,(blank),(blank),Not attend
19470,0,(blank),(blank),Not attend
19474,0,(blank),(blank),Not attend
19475,0,(blank),(blank),Not attend
19476,80,2022/08/14,Preseller,Passed
19478,80,2022/08/14,Preseller,Passed
19479,0,(blank),(blank),Not attend
19480,0,(blank),(blank),Not attend
19481,0,(blank),(blank),Not attend
19491,0,(blank),(blank),Not attend
19492,0,(blank),(blank),Not attend
19493,0,(blank),(blank),Not attend
19495,0,(blank),(blank),Not attend
19502,0,(blank),(blank),Not attend
19503,0,(blank),(blank),Not attend
19505,0,(blank),(blank),Not attend
19507,0,(blank),(blank),Not attend
19508,0,(blank),(blank),Not attend
19509,0,(blank),(blank),Not attend
19510,0,(blank),(blank),Not attend
19511,0,(blank),(blank),Not attend
19512,0,(blank),(blank),Not attend
19514,0,(blank),(blank),Not attend
19516,0,(blank),(blank),Not attend
40022,94,2017/04/18,UM,Passed
40055,89,2017/04/18,TDS,Passed
40169,95,2017/12/14,Preseller,Passed
40202,100,2020/09/09,Preseller,Passed
40205,89,2017/04/25,CR,Passed
40208,89,2017/05/17,CR,Passed
40223,90,2018/11/27,Preseller,Passed
40261,0,(blank),(blank),Not attend
40268,0,(blank),(blank),Not attend
40274,80,2021/01/17,TDS,Passed
40280,86,2020/12/08,Preseller,Passed
40284,80,2017/05/17,CR,Passed
40313,90,2021/01/12,CR,Passed
40522,88,2020/09/07,MS,Passed
40533,91,2017/07/30,Merchandiser,Passed
40534,87,2017/12/24,Merchandiser,Passed
40544,83,2017/07/31,Merchandiser,Passed
40563,90,2020/12/14,Preseller,Passed
40565,81,2017/07/31,Merchandiser,Passed
40573,80,2020/12/20,Preseller,Passed
40581,88,2017/07/31,Merchandiser,Passed
40583,90,2021/01/06,Preseller,Passed
40586,80,2021/11/25,Merchandiser,Passed
40588,81,2017/12/24,Merchandiser,Passed
40594,86,2017/07/27,Merchandiser,Passed
40597,96,2017/07/30,Merchandiser,Passed
40600,87,2017/07/31,Merchandiser,Passed
40609,96,2017/07/30,Merchandiser,Passed
40721,87,2017/12/24,Merchandiser,Passed
40771,90,2020/12/14,Preseller,Passed
40788,0,(blank),(blank),Not attend
40792,0,(blank),(blank),Not attend
40898,100,2021/11/11,Merchandiser,Passed
40910,88,2017/12/24,Merchandiser,Passed
40977,90,2021/11/11,Merchandiser,Passed
41118,80,2017/07/31,Merchandiser,Passed
41121,80,2017/07/31,Merchandiser,Passed
41124,81,2017/07/31,Merchandiser,Passed
